order_type,payment_method,Month,day Of Week,Hour,Discount Category,order_id
Dine-in,Cash,January,Wednesday,12,No Discount,100170
Delivery,UPI,January,Wednesday,13,Low Discount,100368
Dine-in,Wallet,January,Wednesday,20,No Discount,101200
Delivery,UPI,January,Wednesday,21,High Discount,101601
Takeaway,Wallet,January,Wednesday,19,Low Discount,102148
Takeaway,Credit Card,January,Wednesday,18,Medium Discount,102186
Takeaway,UPI,January,Wednesday,21,High Discount,102478
Delivery,Credit Card,January,Wednesday,18,High Discount,102627
Takeaway,Credit Card,January,Wednesday,19,No Discount,102715
Dine-in,UPI,January,Wednesday,17,Low Discount,102725
Dine-in,Debit Card,January,Wednesday,22,High Discount,103610
Delivery,Credit Card,January,Wednesday,20,Medium Discount,103794
Dine-in,Wallet,January,Wednesday,10,No Discount,103858
Dine-in,Credit Card,January,Wednesday,14,No Discount,104185
Dine-in,Debit Card,January,Wednesday,17,No Discount,104546
Dine-in,Credit Card,January,Wednesday,20,No Discount,104551
Takeaway,Cash,January,Wednesday,10,High Discount,105869
Dine-in,Credit Card,January,Wednesday,15,No Discount,106093
Takeaway,Wallet,January,Wednesday,10,High Discount,106162
Dine-in,UPI,January,Wednesday,19,High Discount,106207
Delivery,Credit Card,January,Wednesday,21,Medium Discount,106600
Dine-in,Debit Card,January,Wednesday,17,No Discount,106649
Dine-in,Cash,January,Wednesday,14,Medium Discount,107146
Takeaway,UPI,January,Wednesday,16,High Discount,107152
Delivery,UPI,January,Wednesday,14,No Discount,107565
Delivery,Wallet,January,Wednesday,20,High Discount,108152
Takeaway,Wallet,January,Wednesday,18,No Discount,108200
Dine-in,Credit Card,January,Wednesday,19,No Discount,108283
Takeaway,Credit Card,January,Wednesday,21,No Discount,108403
Takeaway,Cash,January,Wednesday,21,High Discount,108656
Dine-in,Debit Card,January,Wednesday,10,High Discount,109317
Dine-in,UPI,January,Wednesday,17,High Discount,109357
Delivery,UPI,January,Wednesday,10,Low Discount,109551
Delivery,Credit Card,January,Wednesday,14,Medium Discount,109561
