customer_id,pizza_name,category,size,order_id
CUST03503,Pepper Barbecue Chicken,Chicken,Personal,100170
CUST21585,Cheese n Corn,Veg,Personal,100368
CUST24682,Veg Extravaganza,Veg,Personal,101200
CUST22560,Pepper Barbecue Chicken,Chicken,Regular,101601
CUST21981,Farmhouse,Veg,Regular,102148
CUST04103,Paneer Makhani,Veg,Large,102186
CUST21276,Indi Tandoori Paneer,Veg,Large,102478
CUST07600,Indi Chicken Tikka,Chicken,Regular,102627
CUST15239,Veg Extravaganza,Veg,Large,102715
CUST04806,Margherita,Veg,Personal,102725
CUST19746,Margherita,Veg,Medium,103610
CUST08409,Veg Extravaganza,Veg,Regular,103794
CUST24113,Margherita,Veg,Medium,103858
CUST11336,Farmhouse,Veg,Medium,104185
CUST01311,Paneer Makhani,Veg,Large,104546
CUST03863,Veg Extravaganza,Veg,Large,104551
CUST09534,Farmhouse,Veg,Regular,105869
CUST12705,Cheese n Corn,Veg,Regular,106093
CUST07115,Indi Chicken Tikka,Chicken,Personal,106162
CUST09877,Indi Tandoori Paneer,Veg,Personal,106207
CUST03098,Chicken Sausage,Chicken,Personal,106600
CUST20659,Veg Extravaganza,Veg,Regular,106649
CUST03802,Cheese n Corn,Veg,Medium,107146
CUST04060,Indi Tandoori Paneer,Veg,Medium,107152
CUST10617,Paneer Makhani,Veg,Personal,107565
CUST04602,Indi Chicken Tikka,Chicken,Large,108152
CUST16131,Indi Chicken Tikka,Chicken,Medium,108200
CUST21443,Margherita,Veg,Regular,108283
CUST19288,Pepper Barbecue Chicken,Chicken,Personal,108403
CUST14947,Indi Tandoori Paneer,Veg,Medium,108656
CUST21028,Indi Tandoori Paneer,Veg,Large,109317
CUST22793,Chicken Dominator,Chicken,Medium,109357
CUST13485,Cheese n Corn,Veg,Regular,109551
CUST11658,Cheese n Corn,Veg,Large,109561
CUST04784,Farmhouse,Veg,Regular,109630
CUST21235,Farmhouse,Veg,Regular,110265
CUST19498,Chicken Sausage,Chicken,Large,110383
CUST10193,Paneer Makhani,Veg,Personal,110729
CUST06687,Margherita,Veg,Medium,111862
CUST15156,Chicken Sausage,Chicken,Medium,112519
CUST06572,Farmhouse,Veg,Large,114369
CUST22562,Indi Tandoori Paneer,Veg,Large,114819
CUST05761,Chicken Dominator,Chicken,Regular,114932
CUST14963,Indi Tandoori Paneer,Veg,Large,115016
CUST10096,Chicken Sausage,Chicken,Personal,115126
CUST13126,Farmhouse,Veg,Medium,115741
CUST08982,Veg Extravaganza,Veg,Regular,115743
CUST21111,Cheese n Corn,Veg,Regular,116518
CUST18020,Indi Chicken Tikka,Chicken,Regular,116578
CUST03847,Paneer Makhani,Veg,Personal,117090
CUST19955,Veg Extravaganza,Veg,Regular,117247
CUST07500,Pepper Barbecue Chicken,Chicken,Large,117948
CUST18424,Indi Chicken Tikka,Chicken,Large,118062
CUST15473,Margherita,Veg,Personal,118282
CUST21476,Margherita,Veg,Personal,118346
CUST09462,Cheese n Corn,Veg,Personal,118568
CUST15082,Chicken Dominator,Chicken,Personal,118835
CUST12198,Farmhouse,Veg,Medium,119539
CUST16537,Chicken Sausage,Chicken,Personal,119543
CUST24965,Veg Extravaganza,Veg,Large,119728
CUST07087,Chicken Dominator,Chicken,Medium,120455
CUST16357,Indi Chicken Tikka,Chicken,Large,120734
CUST17756,Farmhouse,Veg,Medium,120826
CUST20645,Paneer Makhani,Veg,Medium,121571
CUST20717,Pepper Barbecue Chicken,Chicken,Personal,121836
CUST24418,Veg Extravaganza,Veg,Personal,122061
CUST15226,Paneer Makhani,Veg,Large,122311
CUST18354,Pepper Barbecue Chicken,Chicken,Personal,122604
CUST22721,Pepper Barbecue Chicken,Chicken,Medium,122621
CUST20904,Veg Extravaganza,Veg,Regular,122697
CUST14651,Chicken Sausage,Chicken,Medium,123419
CUST21310,Paneer Makhani,Veg,Regular,123527
CUST07516,Pepper Barbecue Chicken,Chicken,Personal,123978
CUST14107,Farmhouse,Veg,Medium,124556
CUST01766,Chicken Dominator,Chicken,Personal,125092
CUST19399,Indi Chicken Tikka,Chicken,Regular,125133
CUST01909,Pepper Barbecue Chicken,Chicken,Regular,125430
CUST09147,Margherita,Veg,Medium,125786
CUST18380,Indi Chicken Tikka,Chicken,Medium,126715
CUST14638,Chicken Sausage,Chicken,Personal,127110
CUST12513,Pepper Barbecue Chicken,Chicken,Medium,127583
CUST04466,Pepper Barbecue Chicken,Chicken,Large,127717
CUST16559,Indi Tandoori Paneer,Veg,Regular,128070
CUST05731,Cheese n Corn,Veg,Personal,128276
CUST14346,Farmhouse,Veg,Large,128756
CUST07213,Chicken Sausage,Chicken,Regular,129189
CUST12251,Cheese n Corn,Veg,Large,129629
CUST22749,Margherita,Veg,Regular,129775
CUST17715,Pepper Barbecue Chicken,Chicken,Medium,130156
CUST24335,Cheese n Corn,Veg,Medium,130239
