order_id,quantity,unit_price,discount,gst,total_amount
100170,4,359.2,0,71.84,1508.64
100368,2,199.2,39.84,17.93,376.49
101200,3,319.2,0,47.88,1005.48
101601,4,449,269.4,76.33,1602.93
102148,2,299,29.9,28.41,596.51
102186,1,558.4,83.76,23.73,498.37
102478,2,686.4,205.92,58.34,1225.22
102627,2,499,149.7,42.41,890.71
102715,1,638.4,0,31.92,670.32
102725,3,119.2,35.76,16.09,337.93
103610,4,193.7,116.22,32.93,691.51
103794,2,399,79.8,35.91,754.11
103858,1,193.7,0,9.69,203.39
104185,4,388.7,0,77.74,1632.54
104546,2,558.4,0,55.84,1172.64
104551,3,638.4,0,95.76,2010.96
105869,4,299,119.6,53.82,1130.22
106093,3,249,0,37.35,784.35
106162,3,399.2,119.76,53.89,1131.73
106207,4,343.2,205.92,58.34,1225.22
106600,4,303.2,60.64,57.61,1209.77
106649,2,399,0,39.9,837.9
107146,4,323.7,64.74,61.5,1291.56
107152,2,557.7,167.31,47.4,995.49
107565,4,279.2,0,55.84,1172.64
108152,4,798.4,159.68,151.7,3185.62
108200,4,648.7,0,129.74,2724.54
108283,1,149,0,7.45,156.45
108403,4,359.2,0,71.84,1508.64
108656,2,557.7,167.31,47.4,995.49
109317,2,686.4,137.28,61.78,1297.3
109357,3,778.7,233.61,105.12,2207.61
109551,4,249,49.8,47.31,993.51
109561,4,398.4,79.68,75.7,1589.62
109630,1,299,29.9,13.46,282.56
110265,2,299,0,29.9,627.9
110383,2,606.4,60.64,57.61,1209.77
110729,3,279.2,125.64,35.6,747.56
111862,4,193.7,0,38.74,813.54
112519,4,492.7,98.54,93.61,1965.87
114369,1,478.4,23.92,22.72,477.2
114819,3,686.4,308.88,87.52,1837.84
114932,3,599,89.85,85.36,1792.51
115016,1,686.4,102.96,29.17,612.61
115126,2,303.2,0,30.32,636.72
115741,4,388.7,77.74,73.85,1550.91
115743,1,399,59.85,16.96,356.11
116518,1,249,0,12.45,261.45
116578,1,499,0,24.95,523.95
117090,1,279.2,41.88,11.87,249.19
117247,3,399,179.55,50.87,1068.32
117948,1,718.4,0,35.92,754.32
118062,4,798.4,319.36,143.71,3017.95
118282,2,119.2,0,11.92,250.32
118346,1,119.2,17.88,5.07,106.39
118568,4,199.2,39.84,37.85,794.81
118835,3,479.2,0,71.88,1509.48
119539,1,388.7,0,19.44,408.14
119543,3,303.2,0,45.48,955.08
119728,1,638.4,0,31.92,670.32
120455,2,778.7,155.74,70.08,1471.74
120734,1,798.4,0,39.92,838.32
120826,2,388.7,0,38.87,816.27
121571,4,453.7,181.48,81.67,1714.99
121836,2,359.2,35.92,34.12,716.6
122061,1,319.2,15.96,15.16,318.4
122311,4,558.4,0,111.68,2345.28
122604,4,359.2,0,71.84,1508.64
122621,1,583.7,58.37,26.27,551.6
122697,4,399,0,79.8,1675.8
123419,2,492.7,98.54,44.34,931.2
123527,3,349,157.05,44.5,934.45
123978,1,359.2,0,17.96,377.16
124556,1,388.7,0,19.44,408.14
125092,2,479.2,95.84,43.13,905.69
125133,1,499,24.95,23.7,497.75
125430,2,449,134.7,38.16,801.46
125786,3,193.7,0,29.05,610.15
126715,3,648.7,97.31,92.44,1941.23
127110,1,303.2,45.48,12.89,270.61
127583,2,583.7,58.37,55.45,1164.48
127717,4,718.4,0,143.68,3017.28
128070,2,429,128.7,36.46,765.76
128276,2,199.2,39.84,17.93,376.49
128756,1,478.4,47.84,21.53,452.09
129189,2,379,113.7,32.21,676.51
129629,3,398.4,119.52,53.78,1129.46
129775,1,149,14.9,6.71,140.81
130156,2,583.7,0,58.37,1225.77
130239,3,323.7,97.11,43.7,917.69
130944,4,648.7,389.22,110.28,2315.86
131561,1,359.2,35.92,16.16,339.44
131993,4,449,179.6,80.82,1697.22
131999,4,399,79.8,75.81,1592.01
132597,2,399.2,0,39.92,838.32
133242,2,499,149.7,42.41,890.71
133370,2,492.7,98.54,44.34,931.2
133595,1,323.7,32.37,14.57,305.9
133732,4,479.2,0,95.84,2012.64
134066,3,319.2,0,47.88,1005.48
134176,1,648.7,0,32.44,681.14
134391,1,303.2,15.16,14.4,302.44
134695,2,119.2,0,11.92,250.32
134938,3,479.2,0,71.88,1509.48
135086,2,399.2,119.76,33.93,712.57
135143,2,558.4,55.84,53.05,1114.01
135225,4,388.7,233.22,66.08,1387.66
135451,3,343.2,0,51.48,1081.08
135879,4,558.4,223.36,100.51,2110.75
136464,2,492.7,98.54,44.34,931.2
136577,3,379,113.7,51.16,1074.46
136871,4,249,0,49.8,1045.8
136947,4,319.2,127.68,57.46,1206.58
137608,1,583.7,0,29.19,612.89
137675,2,349,34.9,33.16,696.26
138429,3,239.2,0,35.88,753.48
138828,3,583.7,0,87.56,1838.66
139115,1,249,37.35,10.58,222.23
139668,3,606.4,181.92,81.86,1719.14
140006,4,319.2,0,63.84,1340.64
140007,1,718.4,35.92,34.12,716.6
140210,4,453.7,0,90.74,1905.54
140992,4,149,0,29.8,625.8
141835,4,349,0,69.8,1465.8
141965,1,398.4,39.84,17.93,376.49
142102,3,778.7,116.81,110.96,2330.25
